year,global_avg_temp,manaus_avg_temp
1845,7.85,25.83
1846,8.55,26.52
1847,8.09,25.9
1848,7.98,25.95
1849,7.98,25.94
1850,7.9,25.97
1851,8.18,26.01
1852,8.1,26.01
1853,8.04,26.04
1854,8.21,26.04
1855,8.11,26.15
1856,8.0,25.79
1857,7.76,25.64
1858,8.1,26.0
1859,8.25,26.15
1860,7.96,26.01
1861,7.85,25.9
1862,7.56,25.65
1863,8.11,25.97
1864,7.98,25.96
1865,8.18,26.08
1866,8.29,26.21
1867,8.44,26.37
1868,8.25,26.09
1869,8.43,26.43
1870,8.2,26.08
1871,8.12,26.11
1872,8.19,26.12
1873,8.35,26.42
1874,8.43,26.26
1875,7.86,25.72
1876,8.08,26.02
1877,8.54,26.58
1878,8.83,26.81
1879,8.17,26.03
1880,8.12,25.84
1881,8.27,26.31
1882,8.13,25.97
1883,7.98,25.88
1884,7.77,25.74
1885,7.92,24.98
1886,7.95,25.7
1887,7.91,25.88
1888,8.09,26.17
1889,8.32,26.28
1890,7.97,25.67
1891,8.02,25.92
1892,8.07,25.83
1893,8.06,25.75
1894,8.16,25.95
1895,8.15,26.22
1896,8.21,26.32
1897,8.29,26.26
1898,8.18,25.92
1899,8.4,26.22
1900,8.5,26.57
1901,8.54,26.67
1902,8.3,26.31
1903,8.22,26.27
1904,8.09,25.86
1905,8.23,26.45
1906,8.38,26.22
1907,7.95,26.0
1908,8.19,26.07
1909,8.18,26.16
1910,8.22,25.94
1911,8.18,26.1
1912,8.17,26.49
1913,8.3,26.17
1914,8.59,26.6
1915,8.59,26.59
1916,8.23,26.27
1917,8.02,25.69
1918,8.13,26.12
1919,8.38,26.43
1920,8.36,26.2
1921,8.57,25.99
1922,8.41,25.92
1923,8.42,25.95
1924,8.51,26.24
1925,8.53,26.32
1926,8.73,26.65
1927,8.52,26.27
1928,8.63,26.53
1929,8.24,26.34
1930,8.63,26.5
1931,8.72,26.69
1932,8.71,26.56
1933,8.34,26.41
1934,8.63,26.35
1935,8.52,26.63
1936,8.55,26.69
1937,8.7,26.77
1938,8.86,26.58
1939,8.76,26.59
1940,8.76,26.94
1941,8.77,27.03
1942,8.73,26.77
1943,8.76,26.43
1944,8.85,26.71
1945,8.58,26.67
1946,8.68,26.63
1947,8.8,26.6
1948,8.75,26.57
1949,8.59,26.34
1950,8.37,26.52
1951,8.63,26.69
1952,8.64,26.74
1953,8.87,26.79
1954,8.56,26.76
1955,8.63,26.43
1956,8.28,26.17
1957,8.73,26.81
1958,8.77,27.26
1959,8.73,26.78
1960,8.58,26.22
1961,8.8,26.71
1962,8.75,26.84
1963,8.86,26.93
1964,8.41,26.75
1965,8.53,26.92
1966,8.6,26.97
1967,8.7,26.88
1968,8.52,26.49
1969,8.6,27.32
1970,8.7,27.09
1971,8.6,26.16
1972,8.5,26.63
1973,8.95,26.61
1974,8.47,26.26
1975,8.74,26.35
1976,8.35,26.65
1977,8.85,26.62
1978,8.69,26.71
1979,8.73,26.92
1980,8.98,27.0
1981,9.17,26.73
1982,8.64,26.97
1983,9.03,27.38
1984,8.69,26.5
1985,8.66,26.61
1986,8.83,26.67
1987,8.99,27.45
1988,9.2,26.93
1989,8.92,26.53
1990,9.23,27.07
1991,9.18,27.21
1992,8.84,27.42
1993,8.87,26.89
1994,9.04,26.9
1995,9.35,27.34
1996,9.04,27.07
1997,9.2,27.57
1998,9.52,27.54
1999,9.29,26.66
2000,9.2,26.82
2001,9.41,27.08
2002,9.57,27.27
2003,9.53,27.39
2004,9.32,27.24
2005,9.7,27.6
2006,9.53,27.34
2007,9.73,27.32
2008,9.43,26.94
2009,9.51,27.39
2010,9.7,27.56
2011,9.52,27.29
2012,9.51,27.34
2013,9.61,27.11
